Date,Close
2017-02-28,1189.27
2017-03-01,1222.66
2017-03-02,1255.47
2017-03-03,1283.3
2017-03-04,1264.3199
2017-03-05,1271.22
2017-03-06,1277.01
2017-03-07,1232.6899
2017-03-08,1146.97
2017-03-09,1191.33
2017-03-10,1112.39
2017-03-11,1179.22
2017-03-12,1225.11
2017-03-13,1238.1899
2017-03-14,1243.14
2017-03-15,1253.4301
2017-03-16,1172.88
2017-03-17,1071.71
2017-03-18,971.38
2017-03-19,1022.6
2017-03-20,1047.51
2017-03-21,1121.29
2017-03-22,1044.72
2017-03-23,1035.03
2017-03-24,939.7
2017-03-25,966.3
2017-03-26,1045.14
2017-03-26,969.44
2017-03-27,1044.42
2017-03-28,1041.9
2017-03-29,1037.91
2017-03-30,1079.11
2017-03-31,1086.12
2017-04-01,1097.4
2017-04-02,1147.5601
2017-04-03,1141.77
2017-04-04,1129.87
2017-04-05,1188.7
2017-04-06,1190.49
2017-04-07,1180.78
2017-04-08,1204.34
2017-04-09,1206.71
2017-04-10,1220.74
2017-04-11,1212.53
2017-04-12,1176.2
2017-04-13,1177.33
2017-04-14,1176.99
2017-04-15,1176.8
2017-04-16,1194.01
2017-04-17,1206.09
2017-04-18,1215.2
2017-04-19,1238.09
2017-04-20,1249.64
2017-04-21,1240.89
2017-04-22,1249.14
2017-04-23,1248.1801
2017-04-24,1264.3101
2017-04-25,1286.63
2017-04-26,1332.91
2017-04-27,1329.62
2017-04-28,1336.28
2017-04-29,1351.91
2017-04-30,1415.8101
2017-05-01,1445.9301
2017-05-02,1485.55
2017-05-03,1516.76
2017-05-04,1507.77
2017-05-05,1545.29
2017-05-06,1554.45
2017-05-07,1664.47
2017-05-08,1697.5
2017-05-09,1752.3101
2017-05-10,1819.29
2017-05-11,1686.39
2017-05-12,1763.74
2017-05-13,1772.55
2017-05-14,1708.92
2017-05-15,1729.34
2017-05-16,1801.3
2017-05-17,1880.99
2017-05-18,1962.0
2017-05-19,2040.1801
2017-05-20,2044.1899
2017-05-21,2124.4099
2017-05-22,2272.5801
2017-05-23,2445.28
2017-05-24,2307.22
2017-05-25,2244.8899
2017-05-26,2052.4299
2017-05-27,2189.02
2017-05-28,2278.21
2017-05-29,2192.55
